quarter,y,g,newsy,unemp,hpunemp_split,tbill
1889.00,1.096465,.0559437,,,,
1889.25,1.070063,.0466937,,,,
1889.50,1.058106,.0538831,,,,
1889.75,1.047382,.0487089,,,,
1890.00,1.031476,.0458981,0,3.43,6.2231622,
1890.25,1.034152,.0517644,.0010166,3.48,6.2181572,
1890.50,1.037261,.0572107,0,4.25,6.2131495,
1890.75,1.049314,.0568477,0,4.73,6.2081334,
1891.00,1.03555,.0537191,0,4.92,6.2031015,
1891.25,1.03423,.0608682,0,4.73,6.1980449,
1891.50,1.092521,.0457893,0,4.14,6.1929531,
1891.75,1.089186,.0523753,0,4.17,6.1878147,
1892.00,1.069318,.0540556,0,4.15,6.1826156,
1892.25,1.036334,.0580036,0,4.20,6.1773403,
1892.50,1.018698,.0510583,0,4.33,6.1719708,
1892.75,1.023705,.0514583,0,4.56,6.1664874,
1893.00,1.030765,.0551909,0,5.55,6.1608684,
1893.25,1.017061,.054719,0,6.40,6.1550905,
1893.50,.9220018,.0527404,0,7.11,6.1491301,
1893.75,.8748466,.0517056,0,8.02,6.1429633,
1894.00,.8598786,.0530712,0,9.05,6.1365676,
1894.25,.8473061,.0552383,0,9.79,6.1299223,
1894.50,.8718072,.0544295,0,9.15,6.1230093,
1894.75,.9096961,.0536933,0,9.13,6.1158147,
1895.00,.9322514,.0556292,0,8.80,6.1083271,
1895.25,.9520099,.0541391,0,8.51,6.1005384,
1895.50,.9852095,.0539737,0,8.34,6.0924432,
1895.75,1.000764,.0532434,0,8.28,6.0840384,
1896.00,.9519383,.0527995,0,9.31,6.0753232,
1896.25,.9320059,.0517115,0,9.32,6.0662989,
1896.50,.9059176,.0561161,0,9.27,6.0569703,
1896.75,.8822666,.0545194,0,9.17,6.0473452,
1897.00,.9167484,.0561422,0,9.04,6.0374346,
1897.25,.9216464,.0561646,0,8.97,6.0272528,
1897.50,.9493279,.0571636,0,7.97,6.0168171,
1897.75,.9542682,.0532153,0,8.06,6.0061475,
1898.00,.9469558,.0508464,0,8.18,5.9952661,
1898.25,.9295296,.0683439,.0111841,8.09,5.9841972,
1898.50,.9166207,.0742995,-.0027318,7.75,5.9729671,
1898.75,.9216151,.066604,0,7.14,5.9616042,
1899.00,.9781447,.0699599,.0059221,6.32,5.9501388,
1899.25,.9771621,.0700134,0,5.59,5.9386022,
1899.50,.9922397,.0616645,0,5.98,5.9270264,
1899.75,.9974325,.0612719,0,5.51,5.9154426,
1900.00,.9803542,.0572562,.0045384,5.17,5.9038824,
1900.25,.978727,.0620103,0,4.96,5.8923768,
1900.50,.9707077,.0675494,0,4.90,5.8809563,
1900.75,.9658831,.0679832,0,4.97,5.8696502,
1901.00,1.023814,.0661166,0,4.15,5.8584869,
1901.25,1.061908,.0651732,0,4.23,5.8474941,
1901.50,1.060565,.0589287,0,4.18,5.8366974,
1901.75,1.059649,.0606197,.0177126,4.00,5.8261211,
1902.00,1.026271,.0632336,0,3.70,5.8157878,
1902.25,1.021473,.0622068,0,3.38,5.8057182,
1902.50,1.037641,.0670163,0,3.04,5.7959309,
1902.75,1.034323,.065273,0,3.68,5.7864421,
1903.00,1.068587,.0703185,0,3.36,5.7772652,
1903.25,1.085592,.0692291,0,3.28,5.7684115,
1903.50,1.077192,.0707459,0,3.49,5.7598899,
1903.75,1.02447,.0680504,0,3.99,5.7517069,
1904.00,.9947262,.0655393,.0195303,4.71,5.7438665,
1904.25,.9741262,.0637202,0,5.24,5.7363713,
1904.50,.9641174,.0655934,0,5.19,5.7292224,
1904.75,.9878045,.0636801,0,4.54,5.7224208,
1905.00,1.005833,.0664838,0,4.34,5.7159668,
1905.25,1.032212,.0685521,0,4.06,5.7098595,
1905.50,1.054353,.0732156,0,3.75,5.7040967,
1905.75,1.098305,.072105,0,3.41,5.6986745,
1906.00,1.142612,.069689,0,3.03,5.693587,
1906.25,1.149986,.0672486,0,2.64,5.688826,
1906.50,1.161512,.0707546,0,2.26,5.6843809,
1906.75,1.176879,.0717442,0,1.87,5.6802377,
1907.00,1.158663,.0717065,0,1.57,5.6763791,
1907.25,1.140428,.0748402,0,2.12,5.6727842,
1907.50,1.101965,.0793346,0,3.59,5.6694276,
1907.75,1.013209,.0773857,0,5.00,5.6662806,
1908.00,.9250351,.089862,0,6.80,5.6633125,
1908.25,.9096976,.087071,0,8.07,5.6604917,
1908.50,.9247649,.0783828,0,7.59,5.6577879,
1908.75,.9605677,.0801813,0,7.38,5.6551731,
1909.00,1.016712,.0800903,0,6.57,5.6526213,
1909.25,1.048811,.0745866,0,5.82,5.6501083,
1909.50,1.071917,.0727877,0,5.28,5.6476106,
1909.75,1.075589,.0696051,0,4.93,5.6451051,
1910.00,1.048502,.0684575,0,5.45,5.6425682,
1910.25,1.016344,.0725613,0,5.79,5.6399756,
1910.50,.9963474,.0749075,0,5.95,5.6373029,
1910.75,.9954971,.0780197,0,6.25,5.6345257,
1911.00,1.011359,.0826597,0,6.66,5.6316199,
1911.25,1.018474,.0874363,0,6.99,5.6285623,
1911.50,1.023186,.0859142,0,7.18,5.6253305,
1911.75,1.018474,.0890265,0,7.25,5.6219033,
1912.00,1.020904,.0871103,0,6.53,5.6182615,
1912.25,1.027964,.0808793,0,6.00,5.6143871,
1912.50,1.038577,.0840262,0,5.68,5.6102633,
1912.75,1.055489,.0839577,0,5.23,5.6058735,
1913.00,1.060467,.0801084,0,5.39,5.6012012,
1913.25,1.054426,.0822466,0,5.53,5.5962297,
1913.50,1.051467,.077317,0,5.73,5.5909419,
1913.75,1.016937,.0778651,0,6.32,5.5853206,
1914.00,.9774473,.0815428,0,7.24,5.579349,
1914.25,.9580075,.0814852,0,8.13,5.5730107,
1914.50,.9248782,.0826275,0,8.94,5.5662913,
1914.75,.8808293,.0823081,0,9.66,5.5591786,
1915.00,.894161,.0876363,0,9.23,5.551664,
1915.25,.9044614,.0830532,0,9.40,5.5437431,
1915.50,.9356317,.0758554,0,9.13,5.5354148,
1915.75,.9916259,.0794395,.0228969,8.40,5.5266823,
1916.00,1.032333,.08112,0,7.34,5.5175521,
1916.25,1.03411,.0722387,0,6.52,5.5080336,
1916.50,1.033968,.0786368,.0062863,6.07,5.4981382,
1916.75,1.021039,.0703567,0,5.98,5.4878781,
1917.00,.9728664,.0783778,0,6.12,5.4772662,
1917.25,.9829254,.1392109,.3729149,5.86,5.4663159,
1917.50,.9631817,.1233066,0,5.05,5.4550411,
1917.75,.970025,.1234684,.0669475,3.69,5.4434562,
1918.00,.9838803,.2103277,0,1.98,5.4315753,
