quarter,ngov,ngdp,pgdp,pop,recession,unemp,news,rgdp,nfedcurrreceipts_nipa,ndeficit_nipa,tbill,zlb_dummy,rgdp_potcbo,rgdp_pott6,unemp_altcr,rgdp_altcr,pgdp_altcr,ngdp_altcr,ntotrev_nipa,pubfeddebt_treas,fedrevq_treas,fedexpq_treas,nfedexp_nipa,hpunemp_split,hpunemp_full,tbill_interp,nydiscrate
1875.00,,,,45049.08,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1875.25,,,,45314.83,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1875.50,,,,45572.58,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1875.75,,,,45814.33,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1876.00,,,,46056.08,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1876.25,,,,46297.83,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1876.50,,,,46537.42,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1876.75,,,,46772.67,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1877.00,,,,47007.92,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1877.25,,,,47243.17,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1877.50,,,,47476.58,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1877.75,,,,47706.33,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1878.00,,,,47936.08,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1878.25,,,,48165.83,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1878.50,,,,48397.75,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1878.75,,,,48634.00,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1879.00,,,,48870.25,1.00,,,,,,,0.00,,,,,,,,,,,,,,,
1879.25,,,,49106.50,0.00,,,,,,,0.00,,,,,,,,,,,,,,,
1879.50,,,,49347.17,0.00,,,,0.2726217,-0.0002286,,0.00,,,,,,,,2.237321,0.2986928,0.30992536,0.2797612,,,,
1879.75,,,,49596.67,0.00,,,,0.3009655,-0.0688271,,0.00,,,,,,,,2.179573,0.32974718,0.26617899,0.2402726,,,,
1880.00,,,,49846.17,0.00,,,,0.3293316,-0.1181807,,0.00,,,,,,,,2.129495,0.36082603,0.24377798,0.2200518,,,,
1880.25,,,,50095.67,0.00,,,,0.3147427,-0.0969585,,0.00,,,,,,,,2.090909,0.34484198,0.25068969,0.2262908,,,,
1880.50,,,,50362.33,0.00,,,,0.3310224,-0.1117151,,0.00,,,,,,,,2.067648,0.36267853,0.25286447,0.2282539,,,,
1880.75,,,,50663.33,0.00,,,,0.3217345,-0.0791204,,0.00,,,,,,,,2.052659,0.35250238,0.27840609,0.2513096,,,,
1881.00,,,,50964.33,0.00,,,,0.321979,-0.0926971,,0.00,,,,,,,,2.038888,0.35277027,0.26364376,0.2379841,,,,
1881.25,,,,51265.33,0.00,,,,0.3424298,-0.127878,,0.00,,,,,,,,2.019286,0.37517681,0.24793772,0.2238066,,,,
1881.50,,,,51584.92,0.00,,,,0.3511681,-0.1334782,,0.00,,,,,,,,1.986798,0.38475069,0.25167574,0.2271809,,,,
1881.75,,,,51941.67,0.00,,,,0.3731019,-0.1460725,,0.00,,,,,,,,1.945915,0.40878213,0.2626791,0.2371133,,,,
1882.00,,,,52298.42,0.00,,,,0.3686962,-0.1544388,,0.00,,,,,,,,1.901125,0.40395511,0.24839801,0.2242222,,,,
1882.25,,,,52655.17,1.00,,,,0.3802484,-0.1475519,,0.00,,,,,,,,1.856916,0.41661205,0.26917116,0.2429735,,,,
1882.50,,,,53021.50,1.00,,,,0.389493,-0.1605249,,0.00,,,,,,,,1.817778,0.42674074,0.26531761,0.239495,,,,
1882.75,,,,53407.00,1.00,,,,0.3678075,-0.1525349,,0.00,,,,,,,,1.782829,0.40298139,0.24949609,0.2252134,,,,
1883.00,,,,53792.50,1.00,,,,0.3559194,-0.1163862,,0.00,,,,,,,,1.751182,0.38995638,0.2760165,0.2491526,,,,
1883.25,,,,54178.00,1.00,,,,0.3408752,-0.1056426,,0.00,,,,,,,,1.721959,0.37347354,0.27080184,0.2444455,,,,
1883.50,,,,54550.92,1.00,,,,0.3211064,-0.1091852,,0.00,,,,,,,,1.694277,0.35181417,0.24438494,0.2205997,,,,
1883.75,,,,54898.67,1.00,,,,0.3277642,-0.1182971,,0.00,,,,,,,,1.668621,0.35910872,0.24186568,0.2183256,,,,
1884.00,,,,55246.42,1.00,,,,0.3154919,-0.1219606,,0.00,,,,,,,,1.64547,0.34566281,0.22384429,0.2020582,,,,
1884.25,,,,55594.17,1.00,,,,0.3080364,-0.0758814,,0.00,,,,,,,,1.625307,0.33749434,0.26640912,0.2404803,,,,
1884.50,,,,55934.50,1.00,,,,0.3081385,-0.0892176,,0.00,,,,,,,,1.608616,0.3376062,0.25175119,0.227249,,,,
1884.75,,,,56260.00,1.00,,,,0.2830725,-0.0438247,,0.00,,,,,,,,1.595313,0.31014311,0.27351933,0.2468985,,,,
1885.00,,,,56585.50,1.00,,,,0.2908265,-0.0658079,,0.00,,,,,,,,1.585319,0.31863861,0.25798802,0.2328788,,,,
1885.25,,,,56911.00,1.00,,,,0.2997141,-0.0752413,,0.00,,,,,,,,1.578551,0.32837612,0.25764944,0.2325732,,,,
1885.50,,,,57222.17,0.00,,,,0.292801,-0.0867801,,0.00,,,,,,,,1.574926,0.32080195,0.23700107,0.2139344,,,,
1885.75,,,,57504.67,0.00,,,,0.3152013,-0.1085629,,0.00,,,,,,,,1.571719,0.34534442,0.23835583,0.2151573,,,,
1886.00,,,,57787.17,0.00,,,,0.3049017,-0.104726,,0.00,,,,,,,,1.566206,0.33405989,0.23088804,0.2084164,,,,
1886.25,,,,58069.67,0.00,,,,0.3153924,-0.0858933,,0.00,,,,,,,,1.55566,0.34555372,0.26368708,0.2380232,,,,
1886.50,,,,58349.58,0.00,,,,0.3248202,-0.0916171,,0.00,,,,,,,,1.537357,0.35588315,0.26807279,0.241982,,,,
1886.75,,,,58624.33,0.00,,,,0.3353048,-0.1036118,,0.00,,,,,,,,1.514256,0.36737041,0.26671379,0.2407553,,,,
1887.00,,,,58899.08,0.00,,,,0.3457601,-0.0978479,,0.00,,,,,,,,1.489312,0.37882553,0.2849947,0.257257,,,,
1887.25,,,,59173.83,1.00,,,,0.3500566,-0.1320921,,0.00,,,,,,,,1.465485,0.38353295,0.25194671,0.2274255,,,,
1887.50,,,,59461.75,1.00,,,,0.3504943,-0.1107433,,0.00,,,,,,,,1.445727,0.38401253,0.27609542,0.2492238,,,,
1887.75,,,,59776.00,1.00,,,,0.3488637,-0.1412534,,0.00,,,,,,,,1.427418,0.38222598,0.24044039,0.217039,,,,
1888.00,,,,60090.25,1.00,,,,0.3410726,-0.123879,,0.00,,,,,,,,1.407928,0.37368976,0.25082367,0.2264117,,,,
1888.25,,,,60404.50,1.00,,,,0.3442177,-0.078801,,0.00,,,,,,,,1.384632,0.37713572,0.3043405,0.2747199,,,,
1888.50,,,,60720.58,0.00,,,,0.3427306,-0.1137403,,0.00,,,,,,,,1.354908,0.3755063,0.26394197,0.2382533,,,,
1888.75,,,,61040.33,0.00,,,,0.3499468,-0.0735872,,0.00,,,,,,,,1.320983,0.38341266,0.31663475,0.2858176,,,,
1889.00,0.7603737,14.90,0.0510179,61360.08,0.00,,,292.1109,0.3550246,-0.063355,,0.00,272.775,266.4115,,260.6797,0.0505141,13.16800043,,1.285091,0.38897606,0.33374753,0.3012649,,,,
1889.25,0.6355724,14.57,0.0504381,61679.83,0.00,,,288.7733,0.3653647,-0.1199349,,0.00,275.6244,269.8657,,258.4181,0.0499614,12.91093006,,1.249471,0.40030499,0.28283171,0.2553045,,,,
1889.50,0.7411983,14.55,0.0503284,61989.92,0.00,,,289.1998,0.345054,-0.0515628,,0.00,278.4893,273.3183,,260.2557,0.0498951,12.98548418,,1.216342,0.37805194,0.335467,0.302817,,,,
1889.75,0.6833226,14.69,0.0506873,62280.67,0.00,,,289.8834,0.3580757,-0.0850355,,0.00,281.37,276.7694,,263.1307,0.050315,13.23942117,,1.184758,0.39231898,0.31320095,0.282718,,,,
1890.00,0.6321017,14.21,0.0491468,62571.42,0.00,3.43,0.000,289.0389,0.3732986,-0.119557,,0.00,284.266,280.2186,3.27,265.5143,0.048869,12.97541833,,1.153763,0.40899764,0.2922773,0.2638308,6.2231622,5.951917881,,
1890.25,0.7189555,14.36,0.0489625,62862.17,0.00,3.48,0.014,293.3536,0.3951653,-0.1068633,,0.00,287.1778,283.6658,3.39,270.9404,0.0487271,13.20213996,,1.122397,0.43295545,0.33121874,0.2989822,6.2181572,5.945268625,,
